Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Potato, french fries, with chili, fast food / restaurant",1 large fast food order,French fries and other fried white potatoes,276,75226020
"Potato, french fries, with chili and cheese, fast food / restaurant",1 large fast food order,French fries and other fried white potatoes,372,75202021
Potato pancake,1 pancake (frozen),Mashed potatoes and white potato mixtures,45,75203028
Lefse,Quantity not specified,Mashed potatoes and white potato mixtures,80,75207021
"Potato, mashed, NFS",Quantity not specified,Mashed potatoes and white potato mixtures,125,75228020
"Potato, mashed, from fresh, made with milk",Quantity not specified,Mashed potatoes and white potato mixtures,125,75208110
"Grapefruit juice, 100%, NS as to form",1 fl oz (NFS),Citrus juice,31,76401010
"Grapefruit juice, 100%, canned, bottled or in a carton",1 fl oz (NFS),Citrus juice,31,76407020
"Orange juice, 100%, frozen, reconstituted",1 fl oz (NFS),Citrus juice,31,76409010
"Orange juice, 100%, with calcium added, frozen, reconstituted",1 fl oz (NFS),Citrus juice,31,76403010
"Tangerine juice, 100%",1 fl oz (NFS),Citrus juice,31,76205010
"Orange juice, 100%, canned, bottled or in a carton",1 individual school carton,Citrus juice,124,75416500
"Orange juice, 100%, NFS",1 individual school container,Citrus juice,124,75140990
"Orange juice, 100%, with calcium added, canned, bottled or in a carton",1 individual school container,Citrus juice,124,75416600
"Grapefruit juice, 100%, freshly squeezed",Quantity not specified,Citrus juice,248,91306020
Apple cider,1 fl oz (NFS),Apple juice,31,76205040
"Apple juice, 100%",1 individual school container,Apple juice,124,73101110
"Watermelon juice, 100%",1 fl oz (NFS),Other fruit juice,30,76407010
"Blackberry juice, 100%",1 fl oz (NFS),Other fruit juice,31,76201040
"Cranberry juice, 100%, not a blend",1 fl oz (NFS),Other fruit juice,31,76209040
"Papaya juice, 100%",1 fl oz (NFS),Other fruit juice,31,76401040
"Passion fruit juice, 100%",1 fl oz (NFS),Other fruit juice,31,76409040
"Pomegranate juice, 100%",1 fl oz (NFS),Other fruit juice,31,67100360
"Prune juice, 100%",1 fl oz (NFS),Other fruit juice,31,67250150
"Fruit juice, NFS",1 individual school container,Other fruit juice,124,75141000
"Fruit juice blend, 100% juice",1 individual school container,Other fruit juice,124,75141100
"Grape juice, 100%",1 individual school container,Other fruit juice,124,75142600
"Fruit juice blend, citrus, 100% juice",1 Capri Sun pouch,Other fruit juice,186,75142000
"Cranberry juice blend, 100% juice",Quantity not specified,Other fruit juice,248,75302080
"Vegetable and fruit juice, 100% juice, with high vitamin C",Quantity not specified,Other fruit juice,248,89902010
"Carrot juice, 100%",1 fl oz (NFS),Vegetable juice,30,91305020
"Tomato juice, 100%",1 fl oz (NFS),Vegetable juice,31,91407120
"Tomato juice, 100%, low sodium",1 fl oz (NFS),Vegetable juice,31,91304010
Tomato juice cocktail,1 fl oz (NFS),Vegetable juice,31,91306040
"Tomato and vegetable juice, 100%",1 fl oz (NFS),Vegetable juice,31,91304020
"Tomato and vegetable juice, 100%, low sodium",1 fl oz (NFS),Vegetable juice,31,91407150
"Soft drink, NFS, diet",1 child/senior drink,Diet soft drinks,270,89902070
"Soft drink, pepper type, decaffeinated, diet",1 child/senior drink,Diet soft drinks,270,71100100
"Soft drink, cream soda, diet",1 child/senior drink,Diet soft drinks,270,71508001
"Soft drink, chocolate flavored, diet",1 child/senior drink,Diet soft drinks,270,71508010
"Soft drink, cola, fruit or vanilla flavored, diet",1 child/senior drink,Diet soft drinks,270,71508030
"Soft drink, cola, chocolate flavored, diet",1 child/senior drink,Diet soft drinks,270,71508020
"Soft drink, fruit flavored, caffeine containing, diet",1 bottle (16.9 fl oz or 500 ml),Diet soft drinks,507,71103300
"Soft drink, cola, diet",1 bottle (20 fl oz),Diet soft drinks,600,89902020
"Soft drink, cola, decaffeinated, diet",1 bottle (20 fl oz),Diet soft drinks,600,89902050
"Soft drink, pepper type, diet",1 bottle (20 fl oz),Diet soft drinks,600,71000100
"Soft drink, fruit flavored, diet, caffeine free",1 bottle (20 fl oz),Diet soft drinks,600,71508025
"Soft drink, ginger ale, diet",1 bottle (20 fl oz),Diet soft drinks,600,71103310
"Soft drink, root beer, diet",1 bottle (20 fl oz),Diet soft drinks,600,71508035
"Energy drink, sugar-free (Red Bull)",1 can (12 fl oz),Diet sport and energy drinks,360,71104070
"Energy drink, sugar free (Rockstar)",Quantity not specified,Diet sport and energy drinks,480,71104130
"Sports drink, low calorie",1 bottle (16.9 fl oz or 500 ml),Diet sport and energy drinks,507,71104150
"Energy drink, sugar free (Mountain Dew AMP)",1 can (24 fl oz),Diet sport and energy drinks,720,71104030
"Energy drink, sugar free",1 can or bottle (24 fl oz),Diet sport and energy drinks,720,71104140
"Sports drink, low calorie (Gatorade G2)",1 bottle (32 fl oz),Diet sport and energy drinks,960,71104050
"Sports drink, low calorie (Powerade Zero)",1 bottle (32 fl oz),Diet sport and energy drinks,960,71104090
"Fruit flavored drink, with high vitamin C, diet",1 fl oz (NFS),Other diet drinks,30,67100250
"Fruit flavored drink, diet",1 fl oz (NFS),Other diet drinks,30,67100450
"Fruit flavored drink, with high vitamin C, powdered, reconstituted, diet",1 fl oz (NFS),Other diet drinks,30,76407050
"Fruit flavored drink, powdered, reconstituted, diet",1 fl oz (NFS),Other diet drinks,30,67100260
"Vegetable and fruit juice drink, with high vitamin C, diet",Quantity not specified,Other diet drinks,240,71104110
"Slush frozen drink, no sugar added",1 extra large,Other diet drinks,1200,71104100
"Soft drink, pepper type, decaffeinated",1 child/senior drink,Soft drinks,279,71507025
"Soft drink, cream soda",1 child/senior drink,Soft drinks,279,71507035
"Soft drink, chocolate flavored",1 child/senior drink,Soft drinks,279,71106010
"Soft drink, cola, fruit or vanilla flavored",1 child/senior drink,Soft drinks,279,71102980
"Soft drink, cola, chocolate flavored",1 child/senior drink,Soft drinks,279,71103105
"Soft drink, cola",1 bottle (20 fl oz),Soft drinks,620,71103320
"Soft drink, cola, decaffeinated",1 bottle (20 fl oz),Soft drinks,620,71508005
"Soft drink, pepper type",1 bottle (20 fl oz),Soft drinks,620,71101000
"Soft drink, fruit flavored, caffeine free",1 bottle (20 fl oz),Soft drinks,620,71507010
"Soft drink, fruit flavored, caffeine containing",1 bottle (20 fl oz),Soft drinks,620,71507030
"Soft drink, ginger ale",1 bottle (20 fl oz),Soft drinks,620,71507020
"Soft drink, root beer",1 bottle (20 fl oz),Soft drinks,620,71507005
"Cranberry juice drink, with high vitamin C, light",1 fl oz (NFS),Fruit drinks,30,67100460
"Orange juice beverage, 40-50% juice, light",1 fl oz (NFS),Fruit drinks,30,67100470
"Vegetable and fruit juice drink, with high vitamin C, light",1 fl oz (NFS),Fruit drinks,30,67100480
"Fruit nectar, NFS",1 fl oz (NFS),Fruit drinks,31,76407080
Apricot nectar,1 fl oz (NFS),Fruit drinks,31,67100350
Banana nectar,1 fl oz (NFS),Fruit drinks,31,76700000
Cantaloupe nectar,1 fl oz (NFS),Fruit drinks,31,76702100
Guava nectar,1 fl oz (NFS),Fruit drinks,31,76702300
Mango nectar,1 fl oz (NFS),Fruit drinks,31,76702400
Peach nectar,1 fl oz (NFS),Fruit drinks,31,76702200
Papaya nectar,1 fl oz (NFS),Fruit drinks,31,53800000
Passion fruit nectar,1 fl oz (NFS),Fruit drinks,31,67408010
Pear nectar,1 fl oz (NFS),Fruit drinks,31,54350000
"Soursop, nectar",1 fl oz (NFS),Fruit drinks,31,54350200
Tamarind drink,1 fl oz (NFS),Fruit drinks,31,53803100
"Fruit punch, made with fruit juice and soda",1 fl oz (NFS),Fruit drinks,31,54360100
Fruit juice drink (Sunny D),1 fl oz (NFS),Fruit drinks,31,54360000
"Fruit flavored drink, powdered, reconstituted",1 fl oz (NFS),Fruit drinks,31,53801000
"Fruit juice drink, added calcium (Sunny D)",1 fl oz (NFS),Fruit drinks,31,54350100
Sugar cane beverage,1 fl oz (NFS),Fruit drinks,31,53803300
"Fruit juice, acai blend",1 fl oz (NFS),Fruit drinks,31,67430500
"Fruit juice drink, with high vitamin C",1 Kool-Aid Jammers pouch,Fruit drinks,186,71404030
Fruit flavored drink,1 Kool-Aid Bursts bottle (6.75 fl oz),Fruit drinks,209,71404000
"Coconut water, unsweetened",Quantity not specified,Fruit drinks,240,91301030
"Fruit juice drink, with high vitamin C, light",Quantity not specified,Fruit drinks,240,71103000
"Fruit juice drink, diet",Quantity not specified,Fruit drinks,240,71103030
"Coconut water, sweetened","1 bottle, NFS",Fruit drinks,360,91306025
"Fruit flavored drink, with high vitamin C",1 bottle (12 fl oz),Fruit drinks,372,71404010
"Fruit juice drink, citrus, carbonated",1 can (12 fl oz),Fruit drinks,372,71400990
"Fruit juice drink, noncitrus, carbonated",Quantity not specified,Fruit drinks,372,71401030
Fruit juice drink,1 medium drink,Fruit drinks,512,71401033
Slush frozen drink,1 extra large,Fruit drinks,1200,71103135
"Fluid replacement, electrolyte solution",1 fl oz (NFS),Sport and energy drinks,31,67201000
Energy drink (Red Bull),1 can (12 fl oz),Sport and energy drinks,372,71401020
Energy Drink,1 can or bottle (16 fl oz),Sport and energy drinks,496,71505040
Energy drink (NOS),Quantity not specified,Sport and energy drinks,496,71401015
Energy drink (Rockstar),Quantity not specified,Sport and energy drinks,496,71401032
"Sports drink, NFS",1 bottle (20 fl oz),Sport and energy drinks,620,71503010
Energy drink (Mountain Dew AMP),1 can (24 fl oz),Sport and energy drinks,744,71402520
Sports drink (Gatorade G),1 bottle (32 fl oz),Sport and energy drinks,992,71401050
Sports drink (Powerade),1 bottle (32 fl oz),Sport and energy drinks,992,71401000
Energy drink (Monster),1 can (32 fl oz),Sport and energy drinks,992,71402510
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",1 single serving box (11 fl oz) Myoplex Lite,Nutritional beverages,341,71505020
"Nutritional drink or shake, ready-to-drink (Muscle Milk)",Quantity not specified,Nutritional beverages,352,71106050
"Nutritional drink or shake, ready-to-drink, NFS",1 can (12 fl oz),Nutritional beverages,372,71505000
"Fruit smoothie, with whole fruit, no dairy",Quantity not specified,Smoothies and grain drinks,324,71501005
"Fruit smoothie, with whole fruit, no dairy, added protein",Quantity not specified,Smoothies and grain drinks,324,71501006
"Fruit smoothie, with whole fruit, non-dairy",Quantity not specified,Smoothies and grain drinks,324,71501013
"Fruit smoothie juice drink, no dairy",Quantity not specified,Smoothies and grain drinks,324,71501016
"Fruit smoothie, light",Quantity not specified,Smoothies and grain drinks,324,71501017
"Fruit and vegetable smoothie, with dairy",Quantity not specified,Smoothies and grain drinks,324,71501035
"Fruit and vegetable smoothie, added protein",Quantity not specified,Smoothies and grain drinks,324,71602010
"Fruit and vegetable smoothie, non-dairy",Quantity not specified,Smoothies and grain drinks,324,71305015
"Fruit and vegetable smoothie, non-dairy, added protein",Quantity not specified,Smoothies and grain drinks,324,71305020
"Fruit and vegetable smoothie, no dairy",Quantity not specified,Smoothies and grain drinks,324,71305030
Vegetable smoothie,Quantity not specified,Smoothies and grain drinks,324,71305040
"Coffee, pre-lightened",1 cup (8 fl oz),Coffee,240,61201010
"Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted",1 cup (8 fl oz),Coffee,248,92552010
"Coffee, instant, pre-sweetened with sugar, reconstituted",1 cup (8 fl oz),Coffee,248,92550400
"Coffee, pre-sweetened with sugar",1 cup (8 fl oz),Coffee,248,92400000
"Coffee, bottled/canned, light",Quantity not specified,Coffee,330,64101010
"Coffee, bottled/canned",Quantity not specified,Coffee,341,92410610
"Coffee, brewed, flavored",1 small,Coffee,360,71603050
"Coffee, Cappuccino",1 small,Coffee,360,61201225
"Coffee, Cappuccino, decaffeinated",1 small,Coffee,360,61210220
"Coffee, Latte",Quantity not specified,Coffee,360,71601020
"Coffee, Latte, nonfat",Quantity not specified,Coffee,360,71603020
"Coffee, Latte, with non-dairy milk",Quantity not specified,Coffee,360,71701500
"Coffee, Latte, decaffeinated",Quantity not specified,Coffee,360,71601010
"Coffee, Latte, decaffeinated, nonfat",Quantity not specified,Coffee,360,71603010
"Coffee, Latte, decaffeinated, with non-dairy milk",Quantity not specified,Coffee,360,71106000
"Iced Coffee, brewed",Quantity not specified,Coffee,360,71704000
"Iced Coffee, brewed, decaffeinated",Quantity not specified,Coffee,360,71703990
"Coffee, Iced Latte",Quantity not specified,Coffee,360,71601030
"Coffee, Iced Latte, nonfat",Quantity not specified,Coffee,360,71603030
"Coffee, Iced Latte, with non-dairy milk",Quantity not specified,Coffee,360,71501061
"Coffee, Iced Latte, decaffeinated",Quantity not specified,Coffee,360,71501007
"Coffee, Iced Latte, decaffeinated, nonfat",Quantity not specified,Coffee,360,71501071
"Coffee, Iced Latte, decaffeinated, with non-dairy milk",Quantity not specified,Coffee,360,77121010
"Coffee, Cappuccino, nonfat",Quantity not specified,Coffee,360,61213220
"Coffee, Cappuccino, with non-dairy milk",Quantity not specified,Coffee,360,61210820
"Coffee, Cappuccino, decaffeinated, nonfat",Quantity not specified,Coffee,360,61210620
"Coffee, Cappuccino, decaffeinated, with non-dairy milk",Quantity not specified,Coffee,360,61210250
"Coffee, Latte, flavored",Quantity not specified,Coffee,372,64132010
"Coffee, Latte, nonfat, flavored",Quantity not specified,Coffee,372,64132500
"Coffee, Latte, with non-dairy milk, flavored",Quantity not specified,Coffee,372,64133100
"Coffee, Latte, decaffeinated, flavored",Quantity not specified,Coffee,372,75200700
"Coffee, Latte, decaffeinated, nonfat, flavored",Quantity not specified,Coffee,372,64126000
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",Quantity not specified,Coffee,372,64100220
"Frozen coffee drink, nonfat",Quantity not specified,Coffee,372,64100110
"Frozen coffee drink, with non-dairy milk",Quantity not specified,Coffee,372,64100200
"Frozen coffee drink, with whipped cream",Quantity not specified,Coffee,372,78101000
"Frozen coffee drink, nonfat, with whipped cream",Quantity not specified,Coffee,372,64116060
"Frozen coffee drink, with non-dairy milk and whipped cream",Quantity not specified,Coffee,372,64116020
"Frozen coffee drink, decaffeinated, nonfat",Quantity not specified,Coffee,372,64121000
"Frozen coffee drink, decaffeinated, with non-dairy milk",Quantity not specified,Coffee,372,73105000
"Frozen coffee drink, decaffeinated, with whipped cream",Quantity not specified,Coffee,372,73105010
"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",Quantity not specified,Coffee,372,74301100
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",Quantity not specified,Coffee,372,74301150
"Coffee, Cafe Mocha",Quantity not specified,Coffee,372,75132100
"Coffee, Cafe Mocha, nonfat",Quantity not specified,Coffee,372,74302000
"Coffee, Cafe Mocha, with non-dairy milk",Quantity not specified,Coffee,372,74303100
"Coffee, Cafe Mocha, decaffeinated",Quantity not specified,Coffee,372,74303000
"Coffee, Cafe Mocha, decaffeinated, nonfat",Quantity not specified,Coffee,372,75132000
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",Quantity not specified,Coffee,372,92410350
Frozen mocha coffee drink,Quantity not specified,Coffee,372,92410400
"Frozen mocha coffee drink, nonfat",Quantity not specified,Coffee,372,92411620
"Frozen mocha coffee drink, with non-dairy milk",Quantity not specified,Coffee,372,92410820
"Frozen mocha coffee drink, with whipped cream",Quantity not specified,Coffee,372,92410320
"Frozen mocha coffee drink, nonfat, with whipped cream",Quantity not specified,Coffee,372,92410370
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",Quantity not specified,Coffee,372,92410560
"Frozen mocha coffee drink, decaffeinated",Quantity not specified,Coffee,372,92410520
