Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Yogurt, Greek, low fat milk, fruit",Quantity not specified,"Yogurt, Greek",150,11434010
"Yogurt, Greek, nonfat milk, fruit",1 5.3 oz container,"Yogurt, Greek",150,11434020
"Yogurt, Greek, nonfat milk, fruit",1 6 oz container,"Yogurt, Greek",170,11434020
"Yogurt, Greek, nonfat milk, fruit","1 container, NFS","Yogurt, Greek",150,11434020
"Yogurt, Greek, nonfat milk, fruit",1 cup,"Yogurt, Greek",245,11434020
"Yogurt, Greek, nonfat milk, fruit",Quantity not specified,"Yogurt, Greek",150,11434020
"Yogurt, NS as to type of milk, flavors other than fruit",1 4 oz container,"Yogurt, regular",113,11434090
"Yogurt, NS as to type of milk, flavors other than fruit",1 6 oz container,"Yogurt, regular",170,11434090
"Yogurt, NS as to type of milk, flavors other than fruit","1 container, NFS","Yogurt, regular",170,11434090
"Yogurt, NS as to type of milk, flavors other than fruit",1 cup,"Yogurt, regular",245,11434090
"Yogurt, NS as to type of milk, flavors other than fruit",Quantity not specified,"Yogurt, regular",170,11434090
"Yogurt, whole milk, flavors other than fruit",1 4 oz container,"Yogurt, regular",113,11434100
"Yogurt, whole milk, flavors other than fruit",1 6 oz container,"Yogurt, regular",170,11434100
"Yogurt, whole milk, flavors other than fruit","1 container, NFS","Yogurt, regular",170,11434100
"Yogurt, whole milk, flavors other than fruit",1 cup,"Yogurt, regular",245,11434100
"Yogurt, whole milk, flavors other than fruit",Quantity not specified,"Yogurt, regular",170,11434100
"Yogurt, low fat milk, flavors other than fruit",1 4 oz container,"Yogurt, regular",113,11434200
"Yogurt, low fat milk, flavors other than fruit",1 6 oz container,"Yogurt, regular",170,11434200
"Yogurt, low fat milk, flavors other than fruit","1 container, NFS","Yogurt, regular",170,11434200
"Yogurt, low fat milk, flavors other than fruit",1 cup,"Yogurt, regular",245,11434200
"Yogurt, low fat milk, flavors other than fruit",Quantity not specified,"Yogurt, regular",170,11434200
"Yogurt, nonfat milk, flavors other than fruit",1 4 oz container,"Yogurt, regular",113,11434300
"Yogurt, nonfat milk, flavors other than fruit",1 6 oz container,"Yogurt, regular",170,11434300
"Yogurt, nonfat milk, flavors other than fruit","1 container, NFS","Yogurt, regular",170,11434300
"Yogurt, nonfat milk, flavors other than fruit",1 cup,"Yogurt, regular",245,11434300
"Yogurt, nonfat milk, flavors other than fruit",Quantity not specified,"Yogurt, regular",170,11434300
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 5.3 oz container,"Yogurt, Greek",150,11435000
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 6 oz container,"Yogurt, Greek",170,11435000
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","1 container, NFS","Yogurt, Greek",150,11435000
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1 cup,"Yogurt, Greek",245,11435000
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Quantity not specified,"Yogurt, Greek",150,11435000
"Yogurt, Greek, whole milk, flavors other than fruit",1 5.3 oz container,"Yogurt, Greek",150,11435010
"Yogurt, Greek, whole milk, flavors other than fruit",1 6 oz container,"Yogurt, Greek",170,11435010
"Yogurt, Greek, whole milk, flavors other than fruit","1 container, NFS","Yogurt, Greek",150,11435010
"Yogurt, Greek, whole milk, flavors other than fruit",1 cup,"Yogurt, Greek",245,11435010
"Yogurt, Greek, whole milk, flavors other than fruit",Quantity not specified,"Yogurt, Greek",150,11435010
"Yogurt, Greek, low fat milk, flavors other than fruit",1 5.3 oz container,"Yogurt, Greek",150,11435020
"Yogurt, Greek, low fat milk, flavors other than fruit",1 6 oz container,"Yogurt, Greek",170,11435020
"Yogurt, Greek, low fat milk, flavors other than fruit","1 container, NFS","Yogurt, Greek",150,11435020
"Yogurt, Greek, low fat milk, flavors other than fruit",1 cup,"Yogurt, Greek",245,11435020
"Yogurt, Greek, low fat milk, flavors other than fruit",Quantity not specified,"Yogurt, Greek",150,11435020
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 5.3 oz container,"Yogurt, Greek",150,11435030
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 6 oz container,"Yogurt, Greek",170,11435030
"Yogurt, Greek, nonfat milk, flavors other than fruit","1 container, NFS","Yogurt, Greek",150,11435030
"Yogurt, Greek, nonfat milk, flavors other than fruit",1 cup,"Yogurt, Greek",245,11435030
"Yogurt, Greek, nonfat milk, flavors other than fruit",Quantity not specified,"Yogurt, Greek",150,11435030
"Yogurt, Greek, with oats",1 5.3 oz container,"Yogurt, Greek",150,11435100
"Yogurt, Greek, with oats","1 container, NFS","Yogurt, Greek",150,11435100
"Yogurt, Greek, with oats",1 cup,"Yogurt, Greek",245,11435100
"Yogurt, Greek, with oats",Quantity not specified,"Yogurt, Greek",150,11435100
"Yogurt, liquid",1 bottle,"Yogurt, regular",150,11436000
"Yogurt, liquid",1 cup,"Yogurt, regular",245,11436000
"Yogurt, liquid",Quantity not specified,"Yogurt, regular",150,11436000
Yogurt tube,1 tube,"Yogurt, regular",75,11436100
Yogurt tube,Quantity not specified,"Yogurt, regular",75,11436100
"Chipotle dip, yogurt based",1 tablespoon,"Dips, gravies, other sauces",15,11440010
"Chipotle dip, yogurt based",1 individual container,"Dips, gravies, other sauces",70,11440010
"Chipotle dip, yogurt based",Quantity not specified,"Dips, gravies, other sauces",60,11440010
"Onion dip, yogurt based",1 tablespoon,"Dips, gravies, other sauces",15,11440030
"Onion dip, yogurt based",1 individual container,"Dips, gravies, other sauces",70,11440030
"Onion dip, yogurt based",Quantity not specified,"Dips, gravies, other sauces",60,11440030
"Ranch dip, yogurt based",1 tablespoon,"Dips, gravies, other sauces",15,11440040
"Ranch dip, yogurt based",1 individual container,"Dips, gravies, other sauces",70,11440040
"Ranch dip, yogurt based",Quantity not specified,"Dips, gravies, other sauces",60,11440040
"Spinach dip, yogurt based",1 tablespoon,"Dips, gravies, other sauces",15,11440050
"Spinach dip, yogurt based",1 individual container,"Dips, gravies, other sauces",70,11440050
"Spinach dip, yogurt based",Quantity not specified,"Dips, gravies, other sauces",60,11440050
Tzatziki dip,1 tablespoon,"Dips, gravies, other sauces",15,11440060
Tzatziki dip,1 individual container,"Dips, gravies, other sauces",70,11440060
Tzatziki dip,Quantity not specified,"Dips, gravies, other sauces",60,11440060
"Vegetable dip, yogurt based",1 tablespoon,"Dips, gravies, other sauces",15,11440070
"Vegetable dip, yogurt based",1 individual container,"Dips, gravies, other sauces",70,11440070
"Vegetable dip, yogurt based",Quantity not specified,"Dips, gravies, other sauces",60,11440070
"Yogurt parfait, with fruit",1 McDonald's parfait,"Yogurt, regular",150,11446000
"Yogurt parfait, with fruit",Quantity not specified,"Yogurt, regular",150,11446000
"Frozen yogurt, NFS",1 cup,Ice cream and frozen dairy desserts,175,11459990
"Frozen yogurt, NFS",1 scoop,Ice cream and frozen dairy desserts,160,11459990
"Frozen yogurt, NFS",1 small ice cream cup,Ice cream and frozen dairy desserts,160,11459990
"Frozen yogurt, NFS",1 medium ice cream cup,Ice cream and frozen dairy desserts,320,11459990
"Frozen yogurt, NFS",1 large ice cream cup,Ice cream and frozen dairy desserts,480,11459990
"Frozen yogurt, NFS",Quantity not specified,Ice cream and frozen dairy desserts,175,11459990
"Frozen yogurt, vanilla",1 cup,Ice cream and frozen dairy desserts,175,11460000
"Frozen yogurt, vanilla",1 scoop,Ice cream and frozen dairy desserts,160,11460000
"Frozen yogurt, vanilla",1 small ice cream cup,Ice cream and frozen dairy desserts,160,11460000
"Frozen yogurt, vanilla",1 medium ice cream cup,Ice cream and frozen dairy desserts,320,11460000
